companyName,jobTitle,phone,governorate,city,category,tags,sourcePage,rawText,confidence
صيدلية سال,مندوب توصيل,+201068579584,الدقهلية,المنصورة,Pharma & Healthcare,"شحن وتوصيل, صيدلة, مبيعات",4,| ليصوت بودنم | لاس ةيلديص ي | 166,95
ج يإ امراف زلود,فرد أمن,+201024615857,الدقهلية,المنصورة,Security,"تقنية معلومات, أمن",4,| نمأ درف | ج يإ امراف زلود ي | 167,95
ي لا امريد تادايع,نشبيسير,+201092298157,الدقهلية,المنصورة,Other,,4,| نشبيسير | ز ي لا امريد تادايع | 168,85
مكتب كازابرنت للعقارات,سكرتارية,+201000670970,الدقهلية,المنصورة,Real Estate,"إداري, عقارات",4,| ةيراتركس | تاراقعلل تنربازاك بتكم | 169,95
ةحايسلل ةرادصلا تلاحر,سيلز,+201091200760,الدقهلية,المنصورة,Other,مبيعات,4,| زليس | ةحايسلل ةرادصلا تلاحر | 170,85
ي لا امريد تادايع,تمريض,+201092298157,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,4,| ضيرمت | ز ي لا امريد تادايع | 171,95
هسوبسبو هفانك,عضو فريق / مساعد شيف,+201033079030,الدقهلية,المنصورة,Other,"مساعد, مطاعم",6,| فيش دعاسم / قيرف وضع | هسوبسبو هفانك | 266,85
نورابلا ضق,لماك فاتسا,+201144447871,الدقهلية,المنصورة,Other,,6,| لماك فاتسا | نورابلا ضق | 267,85
met life,سيلز,+201097973686,الدقهلية,المنصورة,Other,مبيعات,6,| زليس | met life | 268,85
نوفادوف ليكو,رود توا ت لس,+201140049949,الدقهلية,المنصورة,Other,,6,| ز رود توا ت لس | نوفادوف ليكو | 269,85
روتس يراخبلا,سبلام ت لس,+201004880730,الدقهلية,المنصورة,Other,,6,| ز سبلام ت لس | روتس يراخبلا | 270,85
